,name,rating,region,link
42,Bolgheri Superiore ,4.7,Bolgheri Superiore,https://www.vivino.com/ornellaia-bolgheri-superiore/w/22447?year=2007
43,Tenuta Tignanello 'Solaia' ,4.7,Toscana,https://www.vivino.com/antinori-tuscany-tenuta-tignanello-solaia/w/1651?year=2009
44,Barbaresco ,4.7,Barbaresco,https://www.vivino.com/gaja-barbaresco/w/66104?year=2001
45,Campo del Titari Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/brunelli-campo-del-titari-amarone-della-valpolicella-classico-riserva/w/1122281?year=2012
46,Veneto Rosso del Bepi ,4.7,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-rosso-del-bepi/w/84068?year=2002
47,Amarone della Valpolicella Classico Vigneto Alto TB ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/tommaso-bussola-amarone-della-valpolicella-classico-vigneto-alto-tb/w/74528?year=2006
48,Cerretalto Brunello di Montalcino ,4.7,Brunello di Montalcino,https://www.vivino.com/casanova-di-neri-cerretalto-brunello-di-montalcino/w/81836?year=1999
49, ,4.7,Bolgheri Superiore,https://www.vivino.com/ornellaia-twentyfive-bolgheri-superiore/w/7011222?year=2010
50,Campo Inferi Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/brunelli-campo-inferi-amarone-della-valpolicella-classico-riserva/w/1168085?year=2010
51,Harlequin ,4.7,Veneto,https://www.vivino.com/zyme-harlequin/w/1446306?year=2008
52,Messorio ,4.7,Toscana,https://www.vivino.com/le-macchiole-messorio/w/16418?year=2005
53,Brunello di Montalcino Riserva Madonna del Piano ,4.7,Brunello di Montalcino,https://www.vivino.com/valdicava-brunello-di-montalcino-riserva-madonna-del-piano/w/1242989?year=2001
54,Amarone della Valpolicella Classico Vigneto Il Fornetto ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/azienda-agricola-accordini-stefano-amarone-della-valpolicella-classico-vigneto-il-fornetto/w/1127745?year=2010
55,Madonna delle Grazie Brunello di Montalcino ,4.7,Brunello di Montalcino,https://www.vivino.com/il-marroneto-madonna-delle-grazie-brunello-di-montalcino/w/1171278?year=2010
56,Lodovico ,4.7,Toscana,https://www.vivino.com/tenuta-campo-di-sasso-lodovico/w/1320744?year=2007
57,Rinaldi Maior Amarone della Valpolicella ,4.7,Amarone della Valpolicella,https://www.vivino.com/villa-rinaldi-rinaldi-maior-amarone-della-valpolicella/w/100431?year=2000
58,Conteisa Langhe ,4.7,Langhe,https://www.vivino.com/gaja-conteisa-langhe/w/66184?year=2001
