,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
0,Passivento Rosso ,3.6,Terre Siciliane,2019,93.17 ,96,1103.0,0.7447399999999998,0.330456,0.44252800000000003,0.210002,Barone Montalto,bold,semi smooth,sweet,soft,Sicilia,South,South
1,Pillastro Primitivo Puglia ,4.0,Puglia,2019,69 ,823,2072.0,0.654435,0.15407099999999999,0.387081,0.0663218,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
2,Fantini Sangiovese Terre di Chieti ,3.6,Terre di Chieti,2019,84.17 ,70,1001.0,0.424077,0.328759,0.06571639999999998,0.403993,Farnese,semi light,semi smooth,dry,semi soft,Abruzzo,East,East
3,Appassite Negroamaro - Primitivo ,4.0,Puglia,2019,89.17 ,102,800.0,0.825,0.334615,0.349416,0.184099,Luna Argenta,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
4,Passivento Rosso ,3.6,Terre Siciliane,2019,93.17 ,97,1103.0,0.744727,0.330469,0.44256999999999996,0.210016,Barone Montalto,bold,semi smooth,sweet,soft,Sicilia,South,South
5,Pillastro Selezione d'Oro Primitivo - Negroamaro ,4.0,Puglia,2019,89 ,110,490.0,0.656593,0.163739,0.388239,0.09194100000000001,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
6,Negroamaro ,3.6,Puglia,2019,94.95 ,53,157.0,0.628985,0.391077,0.329067,0.356845,Masso Antico,semi bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
7,Appassite Negroamaro - Primitivo ,4.0,Puglia,2019,89.17 ,102,800.0,0.825,0.334615,0.349416,0.184099,Luna Argenta,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
8,Appassimento Rosso ,4.1,Puglia,2019,89 ,150,166.0,0.782304,0.39059600000000005,0.38654499999999997,0.22456600000000002,Capo Zafferano,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
9,Negroamaro - Primitivo ,3.7,Salento,2019,59 ,168,406.0,0.825,0.27918000000000004,0.290822,0.183596,Il Brutto,bold,semi smooth,semi dry,soft,Puglia,East,South-east
10,Nero d'Avola Terre Siciliane ,3.7,Terre Siciliane,2019,69 ,30,145.0,0.825,0.333765,0.254032,0.19500800000000001,Massivo,bold,semi smooth,semi dry,soft,Sicilia,South,South
11,Oltre Passo Primitivo ,3.4,Salento,2019,65 ,80,221.0,0.617241,0.15509599999999998,0.476667,0.079329,Botter,semi bold,smooth,sweet,soft,Puglia,East,South-east
12,Primitivo di Manduria ,4.0,Primitivo di Manduria,2019,89 ,55,329.0,0.620621,0.255164,0.35957500000000003,0.21133400000000002,Capo Zafferano,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
13,Zinfandel ,3.5,Puglia,2019,68 ,29,129.0,0.650714,0.180267,0.45002499999999995,0.081305,Mammoth,semi bold,smooth,sweet,soft,Puglia,East,South-east
14,Primitivo ,4.1,Salento,2019,58.62 ,4933,2259.0,0.61066,0.172299,0.425432,0.091158,Doppio Passo,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
15,Donna Marzia Primitivo Salento ,3.8,Salento,2019,119 ,68,131.0,0.6409090000000001,0.217421,0.33501600000000004,0.124232,Conti Zecca,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
16,Rèmole Rosso ,3.7,Toscana,2019,46.18 ,133,1798.0,0.39832700000000004,0.35965800000000003,0.0066615,0.42363300000000004,Frescobaldi,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
17,La Corte del Pozzo Bardolino ,3.1,Bardolino,2019,96 ,198,222.0,0.351129,0.392286,0.101803,0.320581,Fasoli Gino,light,semi smooth,dry,semi soft,Veneto,North,North-east
18,Lezèr ,3.9,Vigneti delle Dolomiti,2019,117.17 ,347,274.0,0.436663,0.33271500000000004,0.148336,0.36106299999999997,Foradori,semi light,semi smooth,semi dry,semi soft,Veneto,North,North-east
19,Primitivo di Manduria ,4.0,Primitivo di Manduria,2019,89 ,54,329.0,0.620621,0.255164,0.35957500000000003,0.21133400000000002,Capo Zafferano,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
20,Ciliegiolo Maremma Toscana ,3.8,Maremma Toscana,2019,87.15 ,36,92.0,0.357998,0.38832700000000003,0.0211134,0.481139,Antonio Camillo,light,semi smooth,dry,semi acidic,Toscana,North,North-west
21,Edizione Cinque Autoctoni ,4.5,Abruzzo,2019,149 ,134,3941.0,0.698018,0.355739,0.26025200000000004,0.278428,Farnese,bold,semi smooth,semi dry,semi soft,Abruzzo,East,East
22,Nero d'Avola Terre Siciliane ,3.7,Terre Siciliane,2019,69 ,30,145.0,0.825,0.333765,0.254032,0.19500800000000001,Massivo,bold,semi smooth,semi dry,soft,Sicilia,South,South
23,Edizione Cinque Autoctoni ,4.5,Abruzzo,2019,249 ,135,3941.0,0.698169,0.355909,0.259962,0.27828800000000004,Farnese,bold,semi smooth,semi dry,semi soft,Abruzzo,East,East
24,Appassimento ,3.9,Puglia,2019,79.95 ,1204,1450.0,0.7245180000000001,0.35132599999999997,0.299358,0.264036,Casa Marrone,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
25,Donna Marzia Primitivo Salento ,3.8,Salento,2019,119 ,67,131.0,0.6409090000000001,0.217421,0.33501600000000004,0.124232,Conti Zecca,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
26,Pillastro Selezione d'Oro Primitivo - Negroamaro ,4.0,Puglia,2019,89 ,109,490.0,0.6565770000000001,0.163715,0.388193,0.091929,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
27,U...Passimiento Rouge ,4.3,Terre Siciliane,2019,66.29 ,41,888.0,0.825,0.30585799999999996,0.34200699999999995,0.17927700000000002,Baglio Gibellina,bold,semi smooth,semi sweet,soft,Sicilia,South,South
28,Negroamaro - Primitivo ,3.7,Salento,2019,59 ,168,406.0,0.825,0.27918000000000004,0.290822,0.183596,Il Brutto,bold,semi smooth,semi dry,soft,Puglia,East,South-east
29,No Added Sulfites Cabernet ,3.8,Veneto,2019,112 ,28,40.0,0.555526,0.33346600000000004,0.22237200000000001,0.36965899999999996,Pizzolato,semi bold,semi smooth,semi dry,semi soft,Veneto,North,North-east
30,Pillastro Primitivo Puglia ,4.0,Puglia,2019,69 ,821,2070.0,0.654438,0.15407,0.386872,0.0663225,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
31,Nero d'Avola ,3.5,Terre Siciliane,2019,95 ,145,290.0,0.783333,0.348703,0.23168299999999997,0.22903199999999999,Purato,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
32,Appassimento Rosso ,4.1,Puglia,2019,89 ,150,165.0,0.782247,0.39063000000000003,0.386396,0.224617,Capo Zafferano,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
33,Valpolicella ,3.6,Valpolicella,2019,72.25 ,45,1053.0,0.39515,0.290555,0.105434,0.542165,Allegrini,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
34,Zinfandel ,3.5,Puglia,2019,68 ,29,129.0,0.650714,0.180267,0.45002499999999995,0.081305,Mammoth,semi bold,smooth,sweet,soft,Puglia,East,South-east
35,Nero d'Avola ,3.5,Terre Siciliane,2019,95 ,143,290.0,0.783333,0.348703,0.23168299999999997,0.22903199999999999,Purato,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
36,Dogliani ,3.5,Dogliani,2019,78.21 ,31,609.0,0.606596,0.409196,0.123929,0.298276,Luigi Einaudi,semi bold,semi smooth,dry,semi soft,Piemonte,North,North-west
37,Terrazze Pinot Nero ,3.8,Provincia di Pavia,2018,159 ,39,47.0,0.269612,0.20791,0.0,0.638941,Mazzolino,light,smooth,dry,acidic,Lombardia,North,North
38,Rosso ,3.4,Puglia,2018,85 ,63,22.0,0.6326519999999999,0.267176,0.34667000000000003,0.20880600000000002,Tebaldo,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
39,L'U Umbria Rosso ,3.8,Umbria,2018,64.06 ,98,176.0,0.43623100000000004,0.328731,0.133483,0.41,Lungarotti,semi light,semi smooth,dry,semi soft,Umbria,Central,Central
40,Famiglia Zingarelli Chianti Classico ,3.7,Chianti Classico,2018,88.64 ,227,1779.0,0.423826,0.538038,0.0,0.6224679999999999,Rocca delle Macìe,semi light,semi tannic,dry,acidic,Toscana,North,North-west
41,Tufaliccio Rosso ,3.7,Lazio,2018,129 ,140,68.0,0.47943800000000003,0.350271,0.0252555,0.366167,Marco Carpineti,semi light,semi smooth,dry,semi soft,Lazio,West,West
42,Valpolicella Classico Le Caleselle ,3.4,Valpolicella Classico,2018,63.31 ,26,39.0,0.415781,0.298248,0.07529,0.48093800000000003,Santi,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
43,Toscana ,3.7,Toscana,2018,61.31 ,3625,2921.0,0.41753,0.353276,0.05497330000000001,0.423013,Santa Cristina,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
44,Rosso di Montalcino ,3.7,Rosso di Montalcino,2018,96.83 ,36,170.0,0.442569,0.397668,0.044133399999999996,0.483298,Tenuta di Sesta,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
45, Vites ,3.8,Piemonte,2018,66.60 ,1526,286.0,0.531337,0.34041600000000005,0.196425,0.30115699999999995,Miliasso,semi bold,semi smooth,semi dry,semi soft,Piemonte,North,North-west
46,Rosso di Montepulciano ,3.5,Rosso di Montepulciano,2018,58.10 ,183,164.0,0.377158,0.380925,0.0,0.43540500000000004,Fattoria del Cerro,light,semi smooth,dry,semi acidic,Toscana,North,North-west
47,Toscana Governo Rosso ,4.2,Toscana,2018,79 ,537,920.0,0.454053,0.300284,0.084089,0.40326799999999996,Saracosa,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
48,Etna Rosso ,3.7,Etna,2018,195 ,411,680.0,0.644996,0.414884,0.171591,0.354185,Planeta,semi bold,semi smooth,semi dry,semi soft,Sicilia,South,South
49,Barbera d'Alba ,4.0,Piemonte,2018,210 ,585,410.0,0.5131049999999999,0.234982,0.0015549000000000036,0.64657,Borgogno,semi light,smooth,dry,acidic,Piemonte,North,North-west
50,Morellino di Scansano ,3.6,Morellino di Scansano,2018,71.51 ,480,610.0,0.431771,0.408913,0.05789530000000001,0.449466,Fattoria le Pupille,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
51,Barbera Langhe Casaret ,3.7,Langhe,2018,129 ,147,63.0,0.519792,0.191833,0.06923110000000002,0.621545,Abbona,semi light,smooth,dry,acidic,Piemonte,North,North-west
52,Valpolicella Ripasso ,3.8,Valpolicella Ripasso,2018,125 ,287,672.0,0.595198,0.36317,0.24165099999999998,0.243586,Bertani,semi bold,semi smooth,semi dry,semi soft,Veneto,North,North-east
53,ZFD Appassimento ,3.8,Puglia,2018,75 ,193,119.0,0.8108629999999999,0.32335099999999994,0.34433100000000005,0.197016,Savoni,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
54,Rosso Puglia ,3.8,Puglia,2018,58.10 ,1823,414.0,0.698318,0.30569,0.33051499999999995,0.206814,Luccarelli,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
55,Cariglio ,3.9,Calabria,2018,90.72 ,101,94.0,0.825,0.362808,0.311257,0.214974,Terre Nobili,bold,semi smooth,semi sweet,semi soft,Calabria,South,South-west
56,Graticcio Appassionato ,3.7,Veneto,2018,135 ,794,1260.0,0.6128370000000001,0.331681,0.263069,0.189468,Tommasi,semi bold,semi smooth,semi dry,soft,Veneto,North,North-east
57,Poggio Badiola ,3.7,Toscana,2018,69 ,107,919.0,0.404625,0.361107,0.019551999999999996,0.409048,Mazzei,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
58,Orion Primitivo ,4.0,Salento,2018,69.95 ,1203,831.0,0.629479,0.195444,0.366999,0.131217,Li Veli,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
59,Possente Merlot - Cabernet ,4.0,Rubicone,2018,55 ,34,4.0,0.7101850000000001,0.28472200000000003,0.17407399999999998,0.21805599999999997,Conti Morini,bold,semi smooth,semi dry,semi soft,Emilia Romagna,North,North
60,Primitivo di Manduria ,3.6,Primitivo di Manduria,2018,63.24 ,42,49.0,0.5968,0.21748599999999998,0.349986,0.125114,Terre Avare,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
61,Carlòt Barbera d'Alba ,4.0,Langhe,2018,99 ,40,51.0,0.49337800000000004,0.224722,0.027061099999999998,0.657328,Gian Piero Marrone,semi light,smooth,dry,acidic,Piemonte,North,North-west
62,Barbera Appassimento ,4.0,Piemonte,2018,90 ,405,510.0,0.5397120000000001,0.151617,0.213112,0.587904,Ricossa,semi bold,smooth,semi dry,semi acidic,Piemonte,North,North-west
63,Rosso di Montalcino ,3.5,Rosso di Montalcino,2018,219 ,121,221.0,0.46454900000000005,0.40993,0.0255255,0.45740699999999995,Caprili,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
64,Limited Edition  Vendemmie ,4.6,Montepulciano d'Abruzzo,2018,299 ,338,490.0,0.525559,0.342017,0.2357800000000001,0.554992,Tenuta Ulisse,semi light,semi smooth,semi dry,semi acidic,Abruzzo,East,East
65,Tufaliccio Rosso ,3.7,Lazio,2018,129 ,140,68.0,0.47943800000000003,0.350271,0.0252555,0.366167,Marco Carpineti,semi light,semi smooth,dry,semi soft,Lazio,West,West
66,Amaranto Sangiovese ,3.7,Maremma Toscana,2018,145 ,52,85.0,0.404918,0.41159300000000004,0.0284821,0.49498600000000004,Podere San Cristoforo,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
67,Barbera Langhe Casaret ,3.7,Langhe,2018,129 ,147,63.0,0.519792,0.191833,0.06923110000000002,0.621545,Abbona,semi light,smooth,dry,acidic,Piemonte,North,North-west
68,La Mannella Rosso di Montalcino ,4.3,Rosso di Montalcino,2018,110.24 ,42,136.0,0.467293,0.42050899999999997,0.0021580999999999983,0.42890700000000004,Cortonesi (La Mannella),semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
69,Valpolicella ,3.5,Valpolicella,2018,119 ,1408,445.0,0.381736,0.2837,0.134291,0.536546,Tommasi,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
70, Uno Primitivo di Manduria ,4.3,Primitivo di Manduria,2018,99 ,1923,292.0,0.6414319999999999,0.20775,0.38656100000000004,0.13497,Masseria La Volpe,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
71,Poggio Badiola ,3.7,Toscana,2018,69 ,106,919.0,0.404625,0.361107,0.019551999999999996,0.409048,Mazzei,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
72,Bolgheri Superiore ,4.6,Bolgheri Superiore,2018,1855.06 ,287,4669.0,0.618908,0.6231570000000001,0.10494999999999999,0.514656,Ornellaia,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
73,UNLITRO ,3.9,Costa Toscana,2018,98.32 ,1224,686.0,0.350221,0.36981699999999995,0.04422160000000001,0.480013,Ampeleia,light,semi smooth,dry,semi acidic,Toscana,North,North-west
74,Valpolicella ,3.5,Valpolicella,2018,119 ,1408,445.0,0.381254,0.284168,0.134861,0.536611,Tommasi,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
75,Lacryma Christi Rosso ,3.6,Vesuvio,2018,82.90 ,395,298.0,0.747869,0.40832799999999997,0.17601,0.324464,Feudi di San Gregorio,bold,semi smooth,semi dry,semi soft,Campania,South,South-west
76,Langhe Nebbiolo ,3.8,Langhe,2018,118.43 ,232,252.0,0.608093,0.781878,0.0,0.825,Mauro Molino,semi bold,tannic,dry,acidic,Piemonte,North,North-west
77,Appassite Negroamaro - Primitivo ,4.2,Puglia,2018,89.17 ,1510,800.0,0.825,0.334615,0.349416,0.184099,Luna Argenta,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
78,A Mare Primitivo ,3.7,Puglia,2018,85.33 ,1254,134.0,0.5018670000000001,0.245063,0.446079,0.19409,Terra Rossa,semi light,smooth,sweet,soft,Puglia,East,South-east
79,Fantini Montepulciano d'Abruzzo ,3.6,Montepulciano d'Abruzzo,2018,87.50 ,657,1393.0,0.315282,0.33925400000000006,0.0156318,0.588326,Farnese,light,semi smooth,dry,semi acidic,Abruzzo,East,East
80,Morandina Valpolicella ,3.6,Valpolicella,2018,169 ,144,180.0,0.38488,0.298326,0.09136,0.545565,Prà,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
81,Rosso di Montalcino ,4.1,Rosso di Montalcino,2018,179 ,143,454.0,0.421941,0.388301,0.0012080999999999965,0.439429,Ciacci Piccolomini d'Aragona,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
82,Rosso (Cariddi) ,3.7,Sicilia,2018,58.10 ,34,301.0,0.825,0.373217,0.21256699999999998,0.224451,Colosi,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
83,Ilex Toscana ,3.5,Toscana,2018,128 ,59,40.0,0.397909,0.36740900000000004,0.0,0.495753,Caprili,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
84,Toscana Governo Rosso ,4.2,Toscana,2018,79 ,531,913.0,0.454363,0.30085700000000004,0.08394299999999999,0.403321,Saracosa,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
85,Ottone I Barbera Piemonte ,3.5,Piemonte,2018,300 ,2084,418.0,0.478606,0.207836,0.07065660000000001,0.560704,San Silvestro,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
86,Pelofino Toscana Rosso ,3.5,Maremma Toscana,2018,75 ,172,96.0,0.358973,0.294643,0.027981499999999996,0.417845,Fattoria le Pupille,light,semi smooth,dry,semi acidic,Toscana,North,North-west
87,Chianti ,3.5,Chianti,2018,69 ,2560,896.0,0.38939500000000005,0.5354220000000001,0.0,0.590629,Piccini,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
88,Appassite ,4.1,Puglia,2018,69 ,602,968.0,0.825,0.34381300000000004,0.35688000000000003,0.183998,Nero Grande,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
89,Nero d'Avola ,3.7,Terre Siciliane,2018,58.10 ,348,215.0,0.825,0.399305,0.22154900000000002,0.245763,Feudi Branciforti dei Bordonaro,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
90,Roxanne ,3.8,Toscana,2018,155.12 ,130,89.0,0.420792,0.323913,0.091114,0.45315300000000003,Tenuta Il Palagio,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
91,Chianti ,3.5,Chianti,2018,37.17 ,1503,621.0,0.382307,0.523329,0.0,0.611014,Cecchi,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
92,Etna Rosso ,3.5,Etna,2018,169 ,64,435.0,0.7517900000000001,0.43750900000000004,0.17364999999999997,0.358228,Pietradolce,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
93,Toscana Rosso ,3.9,Toscana,2018,69 ,232,981.0,0.427442,0.3162,0.0292289,0.41845,Saracosa,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
94,Zinfandel ,4.0,Puglia,2018,69 ,577,157.0,0.670613,0.17101400000000003,0.49235799999999996,0.0635646,Big Boys,semi bold,smooth,sweet,soft,Puglia,East,South-east
95,Etna Rosso ,3.9,Etna,2018,149 ,746,2064.0,0.7425459999999999,0.43115299999999995,0.21621500000000002,0.31544000000000005,Tenuta delle Terre Nere,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
96,Vespa Barbera d'Asti ,3.5,Barbera d'Asti,2018,199 ,459,171.0,0.5145689999999999,0.172403,0.08020200000000001,0.605437,Cascina Castlet,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
97,Fantini Don Camillo Sangiovese - Cabernet Sauvignon ,3.9,Terre di Chieti,2018,80.82 ,247,84.0,0.825,0.40021500000000004,0.215353,0.20119900000000002,Farnese,bold,semi smooth,semi dry,soft,Abruzzo,East,East
98,Nero d'Avola ,3.6,Terre Siciliane,2018,80.83 ,793,450.0,0.705538,0.390047,0.25943,0.299017,Barone Montalto,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
99,San Luigi Dogliani ,3.6,Dogliani,2018,139 ,42,121.0,0.582356,0.406942,0.14487100000000003,0.285409,Chionetti,semi bold,semi smooth,dry,semi soft,Piemonte,North,North-west
100,Moma Rosso ,3.8,Emilia,2018,135 ,51,271.0,0.43666699999999997,0.342037,0.0667431,0.403846,Umberto Cesari,semi light,semi smooth,dry,semi soft,Emilia Romagna,North,North
101,Negroamaro I Muri ,3.9,Puglia,2018,50.48 ,757,1015.0,0.823638,0.345385,0.32329,0.208253,Vigneti del Salento,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
102,Nero d'Avola ,3.8,Terre Siciliane,2018,55.09 ,1581,1348.0,0.803041,0.386477,0.220078,0.263847,Cusumano,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
103,Eghemon Passimiento ,4.1,Terre Siciliane,2018,105 ,363,139.0,0.8249639999999999,0.32685000000000003,0.339335,0.167076,Don Vincenzo,bold,semi smooth,semi sweet,soft,Sicilia,South,South
104,Molino a Vento Nero d'Avola ,3.5,Terre Siciliane,2018,79 ,281,122.0,0.705313,0.342154,0.243286,0.248448,Tenute Orestiadi,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
105,Duca del Salento Primitivo ,3.8,Salento,2018,75 ,53,16.0,0.58219,0.174669,0.328636,0.154525,San Donaci,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
106,Cabernet Franc ,3.2,Toscana,2018,220 ,42,50.0,0.41763999999999996,0.428897,0.056745800000000006,0.41853999999999997,Ampeleia,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
107,Podere della Filandra Chianti ,3.6,Chianti,2018,115 ,40,57.0,0.408197,0.584629,0.0,0.6254080000000001,Buccia Nera,semi light,semi tannic,dry,acidic,Toscana,North,North-west
108,Resilience Perricone ,3.9,Sicilia,2018,59.59 ,126,33.0,0.825,0.442703,0.172939,0.279459,Cantina Colomba Bianca,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
109,Zinfandel ,4.0,Puglia,2018,69 ,577,157.0,0.670613,0.17101400000000003,0.49235799999999996,0.0635646,Big Boys,semi bold,smooth,sweet,soft,Puglia,East,South-east
110,Pelofino Toscana Rosso ,3.5,Maremma Toscana,2018,75 ,171,96.0,0.358973,0.294643,0.027981499999999996,0.417845,Fattoria le Pupille,light,semi smooth,dry,semi acidic,Toscana,North,North-west
111,Chianti ,3.7,Chianti,2018,79 ,171,319.0,0.42660800000000004,0.521932,0.0017243999999999992,0.637991,Collezione di Paolo,semi light,semi tannic,dry,acidic,Toscana,North,North-west
112,Barbera d'Alba ,4.0,Piemonte,2018,210 ,586,410.0,0.5131049999999999,0.234982,0.0015549000000000036,0.64657,Borgogno,semi light,smooth,dry,acidic,Piemonte,North,North-west
113,Appassimento ,3.6,Puglia,2018,59 ,74,15.0,0.822533,0.31396700000000005,0.275717,0.26938300000000004,Marosso,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
114,Valpolicella Classico ,3.3,Valpolicella Classico,2018,95 ,65,30.0,0.42075,0.28015,0.10553699999999999,0.49515,Begali Lorenzo,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
115,Costera ,3.6,Cannonau di Sardegna,2018,99 ,85,1393.0,0.645166,0.369891,0.064103,0.418667,Argiolas,semi bold,semi smooth,dry,semi acidic,Sardegna,West,West
116,Passivento Rosso ,4.0,Terre Siciliane,2018,102 ,2491,1103.0,0.744727,0.330469,0.44256999999999996,0.210016,Barone Montalto,bold,semi smooth,sweet,soft,Sicilia,South,South
117,Lillovè Cannonau di Sardegna ,3.6,Cannonau di Sardegna,2018,139 ,70,158.0,0.624694,0.367737,0.0199064,0.403909,Gabbas,semi bold,semi smooth,dry,semi soft,Sardegna,West,West
118,Chianti Classico ,4.0,Chianti Classico,2018,169.83 ,37,268.0,0.45246499999999995,0.5587399999999999,0.013404599999999997,0.571264,San Giusto a Rentennano,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
119,Merlot ,3.8,Veneto,2018,65.55 ,29,13.0,0.7138079999999999,0.46112200000000003,0.201145,0.265794,Pilandro,bold,semi tannic,semi dry,semi soft,Veneto,North,North-east
120,Frappato ,3.3,Terre Siciliane,2018,105 ,244,205.0,0.653729,0.366361,0.218616,0.33935099999999996,Santa Tresa,semi bold,semi smooth,semi dry,semi soft,Sicilia,South,South
121,Chianti ,3.3,Chianti,2018,95 ,368,586.0,0.398446,0.523937,0.0,0.617481,Fontella,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
122,Barbera d'Alba ,3.7,Barbera d'Alba,2018,85.66 ,1138,499.0,0.49187,0.16450900000000002,0.0280462,0.595102,Prunotto,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
123,Langhe Nebbiolo ,3.7,Langhe,2018,175 ,64,152.0,0.595566,0.8104700000000001,0.0,0.825,Scarzello,semi bold,tannic,dry,acidic,Piemonte,North,North-west
124,Orion Primitivo ,4.0,Salento,2018,69.95 ,1205,831.0,0.629489,0.195427,0.366975,0.13123100000000001,Li Veli,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
125,Barbera d'Alba ,3.9,Barbera d'Alba,2018,229 ,101,1641.0,0.517873,0.214638,0.032409099999999996,0.634254,Pio Cesare,semi light,smooth,dry,acidic,Piemonte,North,North-west
126,Rosso ,3.4,Puglia,2018,85 ,63,22.0,0.6326519999999999,0.267176,0.34667000000000003,0.20880600000000002,Tebaldo,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
127,Etna Rosso ,3.9,Etna,2018,149 ,744,2064.0,0.7425459999999999,0.43115299999999995,0.21621500000000002,0.31544000000000005,Tenuta delle Terre Nere,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
128,Chianti Classico ,4.0,Chianti Classico,2018,169 ,77,666.0,0.41042,0.5258809999999999,0.048411899999999994,0.625079,Riecine,semi light,semi tannic,dry,acidic,Toscana,North,North-west
129,Cannonau di Sardegna ,3.4,Cannonau di Sardegna,2018,99 ,565,366.0,0.62,0.387693,0.015038099999999997,0.41639899999999996,Sella & Mosca,semi bold,semi smooth,dry,semi soft,Sardegna,West,West
130,Morandina Valpolicella ,3.6,Valpolicella,2018,169 ,144,180.0,0.38488,0.298326,0.09136,0.545565,Prà,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
131,Primitivo di Manduria ,4.2,Primitivo di Manduria,2018,144.09 ,1633,342.0,0.653823,0.223638,0.43485599999999996,0.111463,Brunilde di Menzione,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
132,Chianti Classico ,3.8,Chianti Classico,2018,179 ,902,1741.0,0.424647,0.551018,0.035099200000000004,0.624806,Castellare,semi light,semi tannic,dry,acidic,Toscana,North,North-west
133,Possente Merlot - Cabernet ,4.0,Rubicone,2018,55 ,34,4.0,0.7101850000000001,0.28472200000000003,0.17407399999999998,0.21805599999999997,Conti Morini,bold,semi smooth,semi dry,semi soft,Emilia Romagna,North,North
134,Langhe Nebbiolo ,3.7,Langhe,2018,175 ,65,152.0,0.595566,0.8104700000000001,0.0,0.825,Scarzello,semi bold,tannic,dry,acidic,Piemonte,North,North-west
135,Barbera d'Alba ,3.6,Barbera d'Alba,2018,114.26 ,47,175.0,0.530247,0.182647,0.0,0.636204,Gianfranco Alessandria,semi bold,smooth,dry,acidic,Piemonte,North,North-west
136,I Suòri Barbera d'Asti ,3.8,Barbera d'Asti,2018,70.76 ,125,73.0,0.541661,0.297626,0.058767999999999994,0.6263540000000001,Roberto Ferraris,semi bold,semi smooth,dry,acidic,Piemonte,North,North-west
