,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
5045,Conteisa Langhe ,4.2,Langhe,2011,1849 ,123,356.0,0.60058,0.38274,0.17748799999999998,0.24555999999999997,Gaja,semi bold,semi smooth,semi dry,semi soft,Piemonte,North,North-west
5046,Montefalco Sagrantino Colleallodole ,4.2,Montefalco Sagrantino,2011,799 ,55,30.0,0.576379,0.554972,0.04094539999999999,0.443172,Fattoria Colleallodole Milziade Antano,semi bold,semi tannic,dry,semi acidic,Umbria,Central,Central
5047,Ca' Florian Amarone della Valpolicella Classico Riserva ,4.3,Amarone della Valpolicella Classico,2011,715 ,275,318.0,0.820322,0.180416,0.475133,0.218441,Tommasi,bold,smooth,sweet,semi soft,Veneto,North,North-east
5048,Barolo Cannubi ,4.3,Barolo,2011,699 ,236,212.0,0.593065,0.7784359999999999,0.0236423,0.825,Michele Chiarlo,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5049,Barolo Cerequio ,4.2,Barolo,2011,699 ,303,461.0,0.603107,0.770617,0.06436320000000001,0.825,Michele Chiarlo,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5050,Pian delle Vigne Brunello di Montalcino ,4.3,Brunello di Montalcino,2011,449 ,1618,2783.0,0.4485,0.503255,0.0494413,0.601835,Antinori,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5051,Dagromis Barolo ,4.3,Barolo,2011,819.34 ,1817,1718.0,0.613636,0.736339,0.0358055,0.8124370000000001,Gaja,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5052,Chianti Borghi D'Elsa ,3.5,Chianti,2011,83.50 ,264,195.0,0.400833,0.538404,0.0,0.6430800000000001,Melini,semi light,semi tannic,dry,acidic,Toscana,North,North-west
5053,Helichrysum Brunello di Montalcino ,4.4,Brunello di Montalcino,2011,569 ,54,180.0,0.459561,0.575866,0.031414,0.599096,San Polino,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5054,Amaë Volpaiole ,4.5,Toscana,2011,623.72 ,51,28.0,0.5347,0.431145,0.05919089999999999,0.460818,Fuori Mondo,semi bold,semi smooth,dry,semi acidic,Toscana,North,North-west
5055,Amarone della Valpolicella ,3.6,Amarone della Valpolicella,2011,525 ,128,64.0,0.805526,0.189656,0.38304499999999997,0.221812,Tenuta Chiccheri,bold,smooth,semi sweet,semi soft,Veneto,North,North-east
5056,Vürsù Barolo Campè ,4.3,Barolo,2011,1395 ,319,732.0,0.6242350000000001,0.770282,0.07238030000000001,0.807193,La Spinetta,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5057,Coniale Toscana ,4.1,Toscana,2011,449 ,36,80.0,0.452528,0.432069,0.03130730000000001,0.45927500000000004,Castellare,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5058,Maroccoli Syrah ,3.9,Menfi,2011,249 ,812,562.0,0.8197450000000001,0.386866,0.277833,0.23724599999999998,Planeta,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
5059,Sator Gran Maestro Tintilia del Molise ,4.0,Tintilia del Molise,2011,305.39 ,38,19.0,0.4,0.363529,0.0,0.40759799999999996,Cianfagna,semi light,semi smooth,dry,semi soft,Molise,East,East
5060,Toscana Le Cupole Rosso ,4.0,Toscana,2011,350 ,644,1045.0,0.49361000000000005,0.403569,0.133187,0.416524,Tenuta di Trinoro,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
5061,Badia a Passignano Gran Selezione Chianti Classico ,4.0,Chianti Classico,2011,299 ,2418,2235.0,0.459579,0.530799,0.05922039999999999,0.602007,Antinori,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5062,Collina della Vedova Barbera d'Asti Superiore ,4.0,Barbera d'Asti,2011,219 ,44,20.0,0.5800139999999999,0.18596800000000002,0.0,0.537675,Alfiero Boffa,semi bold,smooth,dry,semi acidic,Piemonte,North,North-west
5063,Baruffo Chianti Classico Riserva ,4.2,Chianti Classico,2011,199 ,54,32.0,0.50654,0.5914470000000001,0.028013199999999995,0.5806049999999999,Cantalici,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5064,Milleuve Marche Rosso ,3.7,Marche,2011,149 ,46,33.0,0.46358499999999997,0.37866999999999995,0.0494787,0.353181,Borgo del Tiglio,semi light,semi smooth,dry,semi soft,Marche,East,East
5065,Tano Rosso Veronese ,3.6,Rosso Veronese,2011,115 ,52,34.0,0.5183979999999999,0.39411799999999997,0.11050900000000001,0.374343,Le Guaite di Noemi,semi light,semi smooth,dry,semi soft,Veneto,North,North-east
5066,Vürsù Barolo Campè ,4.3,Barolo,2011,1395 ,319,732.0,0.6242350000000001,0.770282,0.07238030000000001,0.807193,La Spinetta,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5067,Ca'Marcanda Magari ,4.2,Bolgheri,2011,721.02 ,1693,1983.0,0.58953,0.633749,0.0646772,0.516992,Gaja,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
5068,Toscana ,3.4,Toscana,2011,61.31 ,3137,2921.0,0.41753,0.353276,0.05497330000000001,0.423013,Santa Cristina,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5069,Amarone della Valpolicella Classico ,4.4,Amarone della Valpolicella Classico,2011,637.66 ,1856,3261.0,0.825,0.23157599999999998,0.48214,0.208781,Allegrini,bold,smooth,sweet,soft,Veneto,North,North-east
5070,Terre di San Leonardo ,3.7,Vigneti delle Dolomiti,2011,80.44 ,546,529.0,0.577205,0.39348700000000003,0.14180199999999998,0.293704,San Leonardo,semi bold,semi smooth,dry,semi soft,Veneto,North,North-east
5071, Anniversario Primitivo di Manduria Riserva ,4.4,Primitivo di Manduria,2011,215.26 ,1524,2011.0,0.668002,0.180199,0.429403,0.07821600000000001,San Marzano,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
5072,Selvarossa Riserva ,4.0,Salice Salentino,2011,256.98 ,1519,577.0,0.819553,0.332973,0.353859,0.227253,Cantine due Palme,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
5073,Chianti Classico Riserva ,3.9,Chianti Classico,2011,349 ,1630,646.0,0.43646700000000005,0.544838,0.075356,0.6309130000000001,Brancaia,semi light,semi tannic,dry,acidic,Toscana,North,North-west
5074,Amarone della Valpolicella Riserva ,4.2,Amarone della Valpolicella,2011,300 ,476,68.0,0.825,0.278668,0.502632,0.265955,Silvano Piacentini,bold,semi smooth,sweet,semi soft,Veneto,North,North-east
5075,Taurasi ,3.9,Taurasi,2011,178.02 ,1668,1695.0,0.815384,0.472613,0.213873,0.29619100000000004,Feudi di San Gregorio,bold,semi tannic,semi dry,semi soft,Campania,South,South-west
5076,Tenuta Nuova Brunello di Montalcino ,4.4,Brunello di Montalcino,2011,849.95 ,1508,3071.0,0.478675,0.548242,0.099411,0.6099100000000001,Casanova di Neri,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5077,Bramasole Syrah ,4.2,Cortona,2011,389 ,469,545.0,0.523694,0.36199,0.13195,0.40043999999999996,La Braccesca,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
