,manufacturer,link,name,year,name_year,manufacturer_name_year,manufacturer_name
0,Salvioni,https://www.dn.no/smak/vin/salvioni-brunello-di-montalcino/4-1-8683,Salvioni Brunello di Montalcino,2005,Salvioni Brunello di Montalcino 2005,Salvioni Salvioni Brunello di Montalcino 2005,Salvioni Salvioni Brunello di Montalcino
1,Giacomo Conterno,https://www.dn.no/smak/vin/barolo-riserva-monfortino/4-1-8462,Barolo Riserva Monfortino,2002,Barolo Riserva Monfortino 2002,Giacomo Conterno Barolo Riserva Monfortino 2002,Giacomo Conterno Barolo Riserva Monfortino
2,Giacomo Conterno,https://www.dn.no/smak/vin/giacomo-conterno-barolo-monfortino-riserva/4-1-82423,Giacomo Conterno Barolo Monfortino Riserva,2013,Giacomo Conterno Barolo Monfortino Riserva 2013,Giacomo Conterno Giacomo Conterno Barolo Monfortino Riserva 2013,Giacomo Conterno Giacomo Conterno Barolo Monfortino Riserva
3,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-crichet-paje/4-1-83287,Roagna Barbaresco Crichët Paje,2010,Roagna Barbaresco Crichët Paje 2010,Az. Agr. Roagna Roagna Barbaresco Crichët Paje 2010,Az. Agr. Roagna Roagna Barbaresco Crichët Paje
4,Soldera,https://www.dn.no/smak/vin/case-basse-sangiovese/4-1-81047,Case Basse Sangiovese,2014,Case Basse Sangiovese 2014,Soldera Case Basse Sangiovese 2014,Soldera Case Basse Sangiovese
5,Soldera,https://www.dn.no/smak/vin/case-basse-sangiovese/4-1-66644,Case Basse Sangiovese,2013,Case Basse Sangiovese 2013,Soldera Case Basse Sangiovese 2013,Soldera Case Basse Sangiovese
6,Biondi Santi Il Greppo,https://www.dn.no/smak/vin/biondi-santi-brunello-di-montalcino-riserva/4-1-66799,Biondi Santi Brunello di Montalcino Riserva,2011,Biondi Santi Brunello di Montalcino Riserva 2011,Biondi Santi Il Greppo Biondi Santi Brunello di Montalcino Riserva 2011,Biondi Santi Il Greppo Biondi Santi Brunello di Montalcino Riserva
7,Giacomo Conterno,https://www.dn.no/smak/vin/giacomo-conterno-barolo-cascina-francia/4-1-82428,Giacomo Conterno Barolo Cascina Francia,2015,Giacomo Conterno Barolo Cascina Francia 2015,Giacomo Conterno Giacomo Conterno Barolo Cascina Francia 2015,Giacomo Conterno Giacomo Conterno Barolo Cascina Francia
8,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-asili/4-1-72392,Barbaresco Riserva Asili,2014,Barbaresco Riserva Asili 2014,Prod. del Barbaresco Barbaresco Riserva Asili 2014,Prod. del Barbaresco Barbaresco Riserva Asili
9,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-montestefano/4-1-72387,Barbaresco Riserva Montestefano,2014,Barbaresco Riserva Montestefano 2014,Prod. del Barbaresco Barbaresco Riserva Montestefano 2014,Prod. del Barbaresco Barbaresco Riserva Montestefano
10,Gaja,https://www.dn.no/smak/vin/barbaresco-sori-tildin/4-1-39180,Barbaresco Sorì Tildìn,2013,Barbaresco Sorì Tildìn 2013,Gaja Barbaresco Sorì Tildìn 2013,Gaja Barbaresco Sorì Tildìn
11,Az. Agr. Cappellano,https://www.dn.no/smak/vin/barolo-pie-franco-michet/4-1-35446,Barolo Pie Franco Michet,2011,Barolo Pie Franco Michet 2011,Az. Agr. Cappellano Barolo Pie Franco Michet 2011,Az. Agr. Cappellano Barolo Pie Franco Michet
12,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-paje-vecchie-viti/4-1-30007,Barbaresco Pajé Vecchie Viti,2010,Barbaresco Pajé Vecchie Viti 2010,Az. Agr. Roagna Barbaresco Pajé Vecchie Viti 2010,Az. Agr. Roagna Barbaresco Pajé Vecchie Viti
13,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-paje-vecchie-viti/4-1-83286,Roagna Barbaresco Paje Vecchie Viti,2014,Roagna Barbaresco Paje Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti
14,Salvioni,https://www.dn.no/smak/vin/salvioni-brunello-di-montalcino/4-1-28159,Salvioni Brunello di Montalcino,2010,Salvioni Brunello di Montalcino 2010,Salvioni Salvioni Brunello di Montalcino 2010,Salvioni Salvioni Brunello di Montalcino
15,Giuseppe Rinaldi,https://www.dn.no/smak/vin/barolo-tre-tine/4-1-23089,Barolo Tre Tine,2010,Barolo Tre Tine 2010,Giuseppe Rinaldi Barolo Tre Tine 2010,Giuseppe Rinaldi Barolo Tre Tine
16,Produttori del Barbaresco,https://www.dn.no/smak/vin/moccagatta-barbaresco-riserva/4-1-8150,Moccagatta Barbaresco Riserva,2005,Moccagatta Barbaresco Riserva 2005,Produttori del Barbaresco Moccagatta Barbaresco Riserva 2005,Produttori del Barbaresco Moccagatta Barbaresco Riserva
17,Tenuta Greppo-Franco Biondi Santi,https://www.dn.no/smak/vin/brunello-di-montalcino-riserva/4-1-13545,Brunello di Montalcino Riserva,2004,Brunello di Montalcino Riserva 2004,Tenuta Greppo-Franco Biondi Santi Brunello di Montalcino Riserva 2004,Tenuta Greppo-Franco Biondi Santi Brunello di Montalcino Riserva
18,San Guido,https://www.dn.no/smak/vin/sassicaia/4-1-83634,Sassicaia,2016,Sassicaia 2016,San Guido Sassicaia 2016,San Guido Sassicaia
19,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-montefico-vecchie-viti/4-1-81082,Barbaresco Montefico Vecchie Viti,2013,Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti
20,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-montefico-vecchie-viti/4-1-67523,Barbaresco Montefico Vecchie Viti,2013,Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti
21,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-paje-vecchie-viti/4-1-67525,Roagna Barbaresco Paje Vecchie Viti,2013,Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti
22,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-paje-vecchie-viti/4-1-81084,Roagna Barbaresco Paje Vecchie Viti,2013,Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti
23,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-crichet-paje/4-1-53527,Roagna Barbaresco Crichët Paje,2008,Roagna Barbaresco Crichët Paje 2008,Az. Agr. Roagna Roagna Barbaresco Crichët Paje 2008,Az. Agr. Roagna Roagna Barbaresco Crichët Paje
24,Gaja,https://www.dn.no/smak/vin/barbaresco-sori-san-lorenzo/4-1-72766,Barbaresco Sorì San Lorenzo,2014,Barbaresco Sorì San Lorenzo 2014,Gaja Barbaresco Sorì San Lorenzo 2014,Gaja Barbaresco Sorì San Lorenzo
25,"Giacosa, B.",https://www.dn.no/smak/vin/barbaresco-asili/4-1-66622,Barbaresco Asili,2015,Barbaresco Asili 2015,"Giacosa, B. Barbaresco Asili 2015","Giacosa, B. Barbaresco Asili"
26,Poggio di Sotto,https://www.dn.no/smak/vin/brunello-di-montalcino/4-1-66642,Brunello di Montalcino,2013,Brunello di Montalcino 2013,Poggio di Sotto Brunello di Montalcino 2013,Poggio di Sotto Brunello di Montalcino
27,Casanova di Neri,https://www.dn.no/smak/vin/brunello-di-montalcino-cerretalto/4-1-35663,Brunello di Montalcino Cerretalto,2010,Brunello di Montalcino Cerretalto 2010,Casanova di Neri Brunello di Montalcino Cerretalto 2010,Casanova di Neri Brunello di Montalcino Cerretalto
28,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-asili-riserva/4-1-58218,Barbaresco Asili Riserva,2013,Barbaresco Asili Riserva 2013,Prod. del Barbaresco Barbaresco Asili Riserva 2013,Prod. del Barbaresco Barbaresco Asili Riserva
29,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-montefico-riserva/4-1-58219,Barbaresco Montefico Riserva,2013,Barbaresco Montefico Riserva 2013,Prod. del Barbaresco Barbaresco Montefico Riserva 2013,Prod. del Barbaresco Barbaresco Montefico Riserva
30,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-montestefano-riserva/4-1-58478,Barbaresco Montestefano Riserva,2013,Barbaresco Montestefano Riserva 2013,Prod. del Barbaresco Barbaresco Montestefano Riserva 2013,Prod. del Barbaresco Barbaresco Montestefano Riserva
31,Massolino,https://www.dn.no/smak/vin/massolino-barolo-vigna-rionda-riserva/4-1-70417,Massolino Barolo Vigna Rionda Riserva,2012,Massolino Barolo Vigna Rionda Riserva 2012,Massolino Massolino Barolo Vigna Rionda Riserva 2012,Massolino Massolino Barolo Vigna Rionda Riserva
32,Dosio Vigneti,https://www.dn.no/smak/vin/dosio-barolo-fossati/4-1-72365,Dosio Barolo Fossati,1996,Dosio Barolo Fossati 1996,Dosio Vigneti Dosio Barolo Fossati 1996,Dosio Vigneti Dosio Barolo Fossati
33,Giacomo Conterno,https://www.dn.no/smak/vin/giacomo-conterno-barolo-cerretta/4-1-82982,Giacomo Conterno Barolo Cerretta,2015,Giacomo Conterno Barolo Cerretta 2015,Giacomo Conterno Giacomo Conterno Barolo Cerretta 2015,Giacomo Conterno Giacomo Conterno Barolo Cerretta
34,Tenuta Greppo Biondi-Santi,https://www.dn.no/smak/vin/brunello-di-montalcino/4-1-81044,Brunello di Montalcino,2013,Brunello di Montalcino 2013,Tenuta Greppo Biondi-Santi Brunello di Montalcino 2013,Tenuta Greppo Biondi-Santi Brunello di Montalcino
35,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-montestefano/4-1-87922,Barbaresco Riserva Montestefano,2015,Barbaresco Riserva Montestefano 2015,Prod. del Barbaresco Barbaresco Riserva Montestefano 2015,Prod. del Barbaresco Barbaresco Riserva Montestefano
36,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-ovello/4-1-87923,Barbaresco Riserva Ovello,2015,Barbaresco Riserva Ovello 2015,Prod. del Barbaresco Barbaresco Riserva Ovello 2015,Prod. del Barbaresco Barbaresco Riserva Ovello
37,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-asili/4-1-87919,Barbaresco Riserva Asili,2015,Barbaresco Riserva Asili 2015,Prod. del Barbaresco Barbaresco Riserva Asili 2015,Prod. del Barbaresco Barbaresco Riserva Asili
38,Ten. San Guido,https://www.dn.no/smak/vin/san-guido-sassicaia/4-1-90600,San Guido Sassicaia,2013,San Guido Sassicaia 2013,Ten. San Guido San Guido Sassicaia 2013,Ten. San Guido San Guido Sassicaia
39,Az. Agr. Cappellano,https://www.dn.no/smak/vin/cappellano-barolo-pie-franco/4-1-92621,Cappellano Barolo Pie Franco,2015,Cappellano Barolo Pie Franco 2015,Az. Agr. Cappellano Cappellano Barolo Pie Franco 2015,Az. Agr. Cappellano Cappellano Barolo Pie Franco
40,Massolino,https://www.dn.no/smak/vin/massolino-barolo-vigna-rionda-riserva/4-1-79963,Massolino Barolo Vigna Rionda Riserva,2013,Massolino Barolo Vigna Rionda Riserva 2013,Massolino Massolino Barolo Vigna Rionda Riserva 2013,Massolino Massolino Barolo Vigna Rionda Riserva
41,Massolino,https://www.dn.no/smak/vin/barolo-riserva-vigna-rionda/4-1-41330,Barolo Riserva Vigna Rionda,2010,Barolo Riserva Vigna Rionda 2010,Massolino Barolo Riserva Vigna Rionda 2010,Massolino Barolo Riserva Vigna Rionda
42,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-montefico-vecchie-viti/4-1-53525,Roagna Barbaresco Montefico Vecchie Viti,2012,Roagna Barbaresco Montefico Vecchie Viti 2012,Az. Agr. Roagna Roagna Barbaresco Montefico Vecchie Viti 2012,Az. Agr. Roagna Roagna Barbaresco Montefico Vecchie Viti
43,Gaja,https://www.dn.no/smak/vin/barbaresco-sori-san-lorenzo/4-1-53544,Barbaresco Sorì San Lorenzo,2013,Barbaresco Sorì San Lorenzo 2013,Gaja Barbaresco Sorì San Lorenzo 2013,Gaja Barbaresco Sorì San Lorenzo
44,Gaja,https://www.dn.no/smak/vin/barbaresco-sori-tildin/4-1-53545,Barbaresco Sorì Tildin,2013,Barbaresco Sorì Tildin 2013,Gaja Barbaresco Sorì Tildin 2013,Gaja Barbaresco Sorì Tildin
45,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-paje-vecchie-viti/4-1-40478,Barbaresco Pajé Vecchie Viti,2011,Barbaresco Pajé Vecchie Viti 2011,Az. Agr. Roagna Barbaresco Pajé Vecchie Viti 2011,Az. Agr. Roagna Barbaresco Pajé Vecchie Viti
46,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-montefico-vecchie-viti/4-1-40476,Barbaresco Montefico Vecchie Viti,2011,Barbaresco Montefico Vecchie Viti 2011,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti 2011,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti
47,Silvia Rivella,https://www.dn.no/smak/vin/barbaresco-montestefano/4-1-42878,Barbaresco Montestefano,2011,Barbaresco Montestefano 2011,Silvia Rivella Barbaresco Montestefano 2011,Silvia Rivella Barbaresco Montestefano
48,Biondi Santi Il Greppo,https://www.dn.no/smak/vin/biondi-santi-brunello-di-montalcino-annata/4-1-47952,Biondi-Santi Brunello di Montalcino Annata,2010,Biondi-Santi Brunello di Montalcino Annata 2010,Biondi Santi Il Greppo Biondi-Santi Brunello di Montalcino Annata 2010,Biondi Santi Il Greppo Biondi-Santi Brunello di Montalcino Annata
49,Col d'Orcia,https://www.dn.no/smak/vin/brunello-di-montalcino-poggio-al-vento/4-1-45457,Brunello di Montalcino Poggio al Vento,2008,Brunello di Montalcino Poggio al Vento 2008,Col d'Orcia Brunello di Montalcino Poggio al Vento 2008,Col d'Orcia Brunello di Montalcino Poggio al Vento
50,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-crichet-paje/4-1-22318,Barbaresco Crichet Pajé,2004,Barbaresco Crichet Pajé 2004,Az. Agr. Roagna Barbaresco Crichet Pajé 2004,Az. Agr. Roagna Barbaresco Crichet Pajé
51,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-montefico/4-1-72394,Barbaresco Riserva Montefico,2014,Barbaresco Riserva Montefico 2014,Prod. del Barbaresco Barbaresco Riserva Montefico 2014,Prod. del Barbaresco Barbaresco Riserva Montefico
52,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-rabaja/4-1-72390,Barbaresco Riserva Rabaja,2014,Barbaresco Riserva Rabaja 2014,Prod. del Barbaresco Barbaresco Riserva Rabaja 2014,Prod. del Barbaresco Barbaresco Riserva Rabaja
53,Gaja,https://www.dn.no/smak/vin/barbaresco-costa-russi/4-1-39181,Barbaresco Costa Russi,2013,Barbaresco Costa Russi 2013,Gaja Barbaresco Costa Russi 2013,Gaja Barbaresco Costa Russi
54,"Conterno, A.",https://www.dn.no/smak/vin/barolo-romirasco/4-1-38525,Barolo Romirasco,2011,Barolo Romirasco 2011,"Conterno, A. Barolo Romirasco 2011","Conterno, A. Barolo Romirasco"
55,San Guido,https://www.dn.no/smak/vin/sassicaia/4-1-38493,Sassicaia,2013,Sassicaia 2013,San Guido Sassicaia 2013,San Guido Sassicaia
56,Giacomo Conterno,https://www.dn.no/smak/vin/giacomo-conterno-barolo-francia/4-1-34002,Giacomo Conterno Barolo Francia,2011,Giacomo Conterno Barolo Francia 2011,Giacomo Conterno Giacomo Conterno Barolo Francia 2011,Giacomo Conterno Giacomo Conterno Barolo Francia
57,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-montestefano/4-1-32893,Barbaresco Riserva Montestefano,2011,Barbaresco Riserva Montestefano 2011,Prod. del Barbaresco Barbaresco Riserva Montestefano 2011,Prod. del Barbaresco Barbaresco Riserva Montestefano
58,Az. Agr. Cappellano,https://www.dn.no/smak/vin/barolo-otin-fiorin-pie-rupestris-nebioli/4-1-35445,Barolo Otin Fiorin Pie Rupestris Nebioli,2011,Barolo Otin Fiorin Pie Rupestris Nebioli 2011,Az. Agr. Cappellano Barolo Otin Fiorin Pie Rupestris Nebioli 2011,Az. Agr. Cappellano Barolo Otin Fiorin Pie Rupestris Nebioli
59,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-montefico/4-1-32895,Barbaresco Riserva Montefico,2011,Barbaresco Riserva Montefico 2011,Prod. del Barbaresco Barbaresco Riserva Montefico 2011,Prod. del Barbaresco Barbaresco Riserva Montefico
60,Aldo Conterno,https://www.dn.no/smak/vin/barolo-cicala/4-1-30852,Barolo Cicala,2010,Barolo Cicala 2010,Aldo Conterno Barolo Cicala 2010,Aldo Conterno Barolo Cicala
61,Biondi Santi Il Greppo,https://www.dn.no/smak/vin/biondi-santi-brunello-di-montalcino-annata/4-1-29865,Biondi-Santi Brunello di Montalcino Annata,2010,Biondi-Santi Brunello di Montalcino Annata 2010,Biondi Santi Il Greppo Biondi-Santi Brunello di Montalcino Annata 2010,Biondi Santi Il Greppo Biondi-Santi Brunello di Montalcino Annata
62,Az. Agr. Roagna,https://www.dn.no/smak/vin/barolo-la-pira-vecchie-viti/4-1-22316,Barolo La Pira Vecchie Viti,2009,Barolo La Pira Vecchie Viti 2009,Az. Agr. Roagna Barolo La Pira Vecchie Viti 2009,Az. Agr. Roagna Barolo La Pira Vecchie Viti
63,Salvioni,https://www.dn.no/smak/vin/salvioni-brunello-di-montalcino/4-1-39325,Salvioni Brunello di Montalcino,2011,Salvioni Brunello di Montalcino 2011,Salvioni Salvioni Brunello di Montalcino 2011,Salvioni Salvioni Brunello di Montalcino
64,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barolo-pira-vecchie-viti/4-1-83285,Roagna Barolo Pira Vecchie Viti,2014,Roagna Barolo Pira Vecchie Viti 2014,Az. Agr. Roagna Roagna Barolo Pira Vecchie Viti 2014,Az. Agr. Roagna Roagna Barolo Pira Vecchie Viti
65,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-asili-vecchie-viti/4-1-68382,Roagna Barbaresco Asili Vecchie Viti,2014,Roagna Barbaresco Asili Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Asili Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Asili Vecchie Viti
66,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-montefico-vecchie-viti/4-1-68383,Roagna Barbaresco Montefico Vecchie Viti,2014,Roagna Barbaresco Montefico Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Montefico Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Montefico Vecchie Viti
67,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-paje/4-1-68390,Roagna Barbaresco Pajè,2014,Roagna Barbaresco Pajè 2014,Az. Agr. Roagna Roagna Barbaresco Pajè 2014,Az. Agr. Roagna Roagna Barbaresco Pajè
68,Bruno Giacosa,https://www.dn.no/smak/vin/barolo-falletto-del-serralunga-dalba/4-1-22749,Barolo Falletto del Serralunga d'Alba,2011,Barolo Falletto del Serralunga d'Alba 2011,Bruno Giacosa Barolo Falletto del Serralunga d'Alba 2011,Bruno Giacosa Barolo Falletto del Serralunga d'Alba
69,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-montefico-vecchie-viti/4-1-30005,Barbaresco Montefico Vecchie Viti,2010,Barbaresco Montefico Vecchie Viti 2010,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti 2010,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti
70,Aldo Conterno,https://www.dn.no/smak/vin/barolo-romirasco/4-1-28071,Barolo Romirasco,2008,Barolo Romirasco 2008,Aldo Conterno Barolo Romirasco 2008,Aldo Conterno Barolo Romirasco
71,Bartolo Mascarello,https://www.dn.no/smak/vin/barolo/4-1-23084,Barolo,2010,Barolo 2010,Bartolo Mascarello Barolo 2010,Bartolo Mascarello Barolo
72,Angelo Gaja,https://www.dn.no/smak/vin/sori-tildin/4-1-20537,Sori Tildin,2010,Sori Tildin 2010,Angelo Gaja Sori Tildin 2010,Angelo Gaja Sori Tildin
73,Salvioni,https://www.dn.no/smak/vin/brunello-di-montalcino/4-1-3295,Brunello di Montalcino,2004,Brunello di Montalcino 2004,Salvioni Brunello di Montalcino 2004,Salvioni Brunello di Montalcino
74,Giacomo Conterno,https://www.dn.no/smak/vin/barolo-cascina-francia/4-1-18744,Barolo Cascina Francia,2010,Barolo Cascina Francia 2010,Giacomo Conterno Barolo Cascina Francia 2010,Giacomo Conterno Barolo Cascina Francia
75,Produttori del Barbaresco,https://www.dn.no/smak/vin/montefico-barbaresco-riserva/4-1-7058,Montefico Barbaresco Riserva,2005,Montefico Barbaresco Riserva 2005,Produttori del Barbaresco Montefico Barbaresco Riserva 2005,Produttori del Barbaresco Montefico Barbaresco Riserva
76,Bruno Giacosa,https://www.dn.no/smak/vin/barolo-le-rocche-del-falletto-di-serralunga-dalba/4-1-14570,Barolo le Rocche del Falletto di Serralunga d’Alba,2009,Barolo le Rocche del Falletto di Serralunga d’Alba 2009,Bruno Giacosa Barolo le Rocche del Falletto di Serralunga d’Alba 2009,Bruno Giacosa Barolo le Rocche del Falletto di Serralunga d’Alba
77,Produttori del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-asili/4-1-11123,Barbaresco Riserva Asili,2007,Barbaresco Riserva Asili 2007,Produttori del Barbaresco Barbaresco Riserva Asili 2007,Produttori del Barbaresco Barbaresco Riserva Asili
78,Roberto Voerzio,https://www.dn.no/smak/vin/barolo-brunate/4-1-16792,Barolo Brunate,2008,Barolo Brunate 2008,Roberto Voerzio Barolo Brunate 2008,Roberto Voerzio Barolo Brunate
79,Giuseppe Rinaldi,https://www.dn.no/smak/vin/barolo-cannubi-s-lorenzo-ravera/4-1-17905,Barolo Cannubi s. Lorenzo-Ravera,2009,Barolo Cannubi s. Lorenzo-Ravera 2009,Giuseppe Rinaldi Barolo Cannubi s. Lorenzo-Ravera 2009,Giuseppe Rinaldi Barolo Cannubi s. Lorenzo-Ravera
80,Bruno Giacosa,https://www.dn.no/smak/vin/barolo-vigna-croera-di-la-morra/4-1-3219,Barolo Vigna Croera di La Morra,2004,Barolo Vigna Croera di La Morra 2004,Bruno Giacosa Barolo Vigna Croera di La Morra 2004,Bruno Giacosa Barolo Vigna Croera di La Morra
81,Giacomo Conterno,https://www.dn.no/smak/vin/barolo-riserva-monfortino/4-1-13968,Barolo Riserva Monfortino,2005,Barolo Riserva Monfortino 2005,Giacomo Conterno Barolo Riserva Monfortino 2005,Giacomo Conterno Barolo Riserva Monfortino
82,Bruno Giacosa,https://www.dn.no/smak/vin/barolo-falletto-dserralunga-dalba/4-1-5722,Barolo Falletto d'Serralunga d'Alba,2004,Barolo Falletto d'Serralunga d'Alba 2004,Bruno Giacosa Barolo Falletto d'Serralunga d'Alba 2004,Bruno Giacosa Barolo Falletto d'Serralunga d'Alba
83,Bruno Giacosa,https://www.dn.no/smak/vin/giacosa-barolo-falletto-di-serralunga/4-1-12307,Giacosa Barolo Falletto di Serralunga,1999,Giacosa Barolo Falletto di Serralunga 1999,Bruno Giacosa Giacosa Barolo Falletto di Serralunga 1999,Bruno Giacosa Giacosa Barolo Falletto di Serralunga
84,Massolino,https://www.dn.no/smak/vin/barolo-riserva-vigna-rionda/4-1-8951,Barolo Riserva Vigna Rionda,2004,Barolo Riserva Vigna Rionda 2004,Massolino Barolo Riserva Vigna Rionda 2004,Massolino Barolo Riserva Vigna Rionda
85,Giuseppe Rinaldi,https://www.dn.no/smak/vin/barolo-brunate-coste/4-1-9039,Barolo Brunate Coste,2006,Barolo Brunate Coste 2006,Giuseppe Rinaldi Barolo Brunate Coste 2006,Giuseppe Rinaldi Barolo Brunate Coste
86,Roagna,https://www.dn.no/smak/vin/barbaresco-paje-crichet/4-1-4450,Barbaresco Paje Crichët,1999,Barbaresco Paje Crichët 1999,Roagna Barbaresco Paje Crichët 1999,Roagna Barbaresco Paje Crichët
87,Giuseppe Rinaldi,https://www.dn.no/smak/vin/barolo-brunate-coste/4-1-15521,Barolo Brunate Coste,2008,Barolo Brunate Coste 2008,Giuseppe Rinaldi Barolo Brunate Coste 2008,Giuseppe Rinaldi Barolo Brunate Coste
88,Monsanto,https://www.dn.no/smak/vin/monsanto-vinsanto-la-chimera/4-1-11675,Monsanto Vinsanto La Chimera,1995,Monsanto Vinsanto La Chimera 1995,Monsanto Monsanto Vinsanto La Chimera 1995,Monsanto Monsanto Vinsanto La Chimera
89,Bruno Giacosa,https://www.dn.no/smak/vin/barolo-le-rocche-del-falletto-riserva/4-1-8303,Barolo Le Rocche del Falletto Riserva,2004,Barolo Le Rocche del Falletto Riserva 2004,Bruno Giacosa Barolo Le Rocche del Falletto Riserva 2004,Bruno Giacosa Barolo Le Rocche del Falletto Riserva
90,Produttori del Barbaresco,https://www.dn.no/smak/vin/asili-barbaresco-riserva/4-1-8151,Asili Barbaresco Riserva,2005,Asili Barbaresco Riserva 2005,Produttori del Barbaresco Asili Barbaresco Riserva 2005,Produttori del Barbaresco Asili Barbaresco Riserva
91,Mastroberardino,https://www.dn.no/smak/vin/taurasi-riserva/4-1-8609,Taurasi Riserva,1981,Taurasi Riserva 1981,Mastroberardino Taurasi Riserva 1981,Mastroberardino Taurasi Riserva
92,Giacomo Conterno,https://www.dn.no/smak/vin/barolo-riserva-monfortino/4-1-16561,Barolo Riserva Monfortino,2006,Barolo Riserva Monfortino 2006,Giacomo Conterno Barolo Riserva Monfortino 2006,Giacomo Conterno Barolo Riserva Monfortino
93,Burlotto,https://www.dn.no/smak/vin/barolo-monvigliero/4-1-92202,Barolo Monvigliero,2016,Barolo Monvigliero 2016,Burlotto Barolo Monvigliero 2016,Burlotto Barolo Monvigliero
94,Elio Altare,https://www.dn.no/smak/vin/barolo-unoperuno/4-1-92047,Barolo Unoperuno,2015,Barolo Unoperuno 2015,Elio Altare Barolo Unoperuno 2015,Elio Altare Barolo Unoperuno
95,Giacomo Anselma,https://www.dn.no/smak/vin/giacomo-anselma-barolo-riserva-vigna-rionda/4-1-72907,Giacomo Anselma Barolo Riserva Vigna Rionda,2011,Giacomo Anselma Barolo Riserva Vigna Rionda 2011,Giacomo Anselma Giacomo Anselma Barolo Riserva Vigna Rionda 2011,Giacomo Anselma Giacomo Anselma Barolo Riserva Vigna Rionda
96,Az. Agr. Montevertine,https://www.dn.no/smak/vin/montevertine-le-pergole-torte/4-1-83965,Montevertine Le Pergole Torte,2016,Montevertine Le Pergole Torte 2016,Az. Agr. Montevertine Montevertine Le Pergole Torte 2016,Az. Agr. Montevertine Montevertine Le Pergole Torte
97,Antinori,https://www.dn.no/smak/vin/solaia/4-1-83635,Solaia,2016,Solaia 2016,Antinori Solaia 2016,Antinori Solaia
98,Az. Agr. Fontodi,https://www.dn.no/smak/vin/fontodi-flaccianello/4-1-82530,Fontodi Flaccianello,2016,Fontodi Flaccianello 2016,Az. Agr. Fontodi Fontodi Flaccianello 2016,Az. Agr. Fontodi Fontodi Flaccianello
