,manufacturer,link,name,year,name_year,manufacturer_name_year,manufacturer_name
1556,Az. Vit. Sobrero,https://www.dn.no/smak/vin/sobrero-barolo-ciabot-tanasio/4-1-84069,Sobrero Barolo Ciabot Tanasio,2015,Sobrero Barolo Ciabot Tanasio 2015,Az. Vit. Sobrero Sobrero Barolo Ciabot Tanasio 2015,Az. Vit. Sobrero Sobrero Barolo Ciabot Tanasio
1557,Frank Cornelissen,https://www.dn.no/smak/vin/cornelissen-susucaru-rosso/4-1-82996,Cornelissen Susucaru Rosso,2018,Cornelissen Susucaru Rosso 2018,Frank Cornelissen Cornelissen Susucaru Rosso 2018,Frank Cornelissen Cornelissen Susucaru Rosso
1558,Az. Agr. Valfaccenda,https://www.dn.no/smak/vin/valmaggiore-roero-reserva/4-1-82458,Valmaggiore Roero Reserva,2015,Valmaggiore Roero Reserva 2015,Az. Agr. Valfaccenda Valmaggiore Roero Reserva 2015,Az. Agr. Valfaccenda Valmaggiore Roero Reserva
1559,Col d'Orcia,https://www.dn.no/smak/vin/col-dorcia-brunello-di-montalcino/4-1-90155,Col d'Orcia Brunello di Montalcino,2015,Col d'Orcia Brunello di Montalcino 2015,Col d'Orcia Col d'Orcia Brunello di Montalcino 2015,Col d'Orcia Col d'Orcia Brunello di Montalcino
1560,Fatt. Nittardi,https://www.dn.no/smak/vin/ad-astra-maremma-toscana/4-1-90158,Ad Astra Maremma Toscana,2017,Ad Astra Maremma Toscana 2017,Fatt. Nittardi Ad Astra Maremma Toscana 2017,Fatt. Nittardi Ad Astra Maremma Toscana
1561,Az. Agr. Fontodi,https://www.dn.no/smak/vin/fontodi-chianti-classico-docg/4-1-92179,Fontodi Chianti Classico DOCG,2017,Fontodi Chianti Classico DOCG 2017,Az. Agr. Fontodi Fontodi Chianti Classico DOCG 2017,Az. Agr. Fontodi Fontodi Chianti Classico DOCG
1562,Az. Vin. Palladino,https://www.dn.no/smak/vin/palladino-barolo-serralunga/4-1-90054,Palladino Barolo Serralunga,2015,Palladino Barolo Serralunga 2015,Az. Vin. Palladino Palladino Barolo Serralunga 2015,Az. Vin. Palladino Palladino Barolo Serralunga
1563,Cavallotto,https://www.dn.no/smak/vin/cavallotto-barbera-dalba-vigna-del-cuculo/4-1-90083,Cavallotto Barbera d'Alba Vigna del Cuculo,2017,Cavallotto Barbera d'Alba Vigna del Cuculo 2017,Cavallotto Cavallotto Barbera d'Alba Vigna del Cuculo 2017,Cavallotto Cavallotto Barbera d'Alba Vigna del Cuculo
1564,Az. Agr. Ghiomo,https://www.dn.no/smak/vin/ghiomo-sansteu-nebbiolo-dalba-superiore/4-1-91620,Ghiomo Sansteu Nebbiolo d'Alba Superiore,2017,Ghiomo Sansteu Nebbiolo d'Alba Superiore 2017,Az. Agr. Ghiomo Ghiomo Sansteu Nebbiolo d'Alba Superiore 2017,Az. Agr. Ghiomo Ghiomo Sansteu Nebbiolo d'Alba Superiore
1565,Prod. del Barbaresco,https://www.dn.no/smak/vin/nebbiolo-langhe/4-1-89956,Nebbiolo Langhe,2018,Nebbiolo Langhe 2018,Prod. del Barbaresco Nebbiolo Langhe 2018,Prod. del Barbaresco Nebbiolo Langhe
1566,Az. Agr. San Fereolo,https://www.dn.no/smak/vin/san-fereolo-dogliani-superiore/4-1-88376,San Fereolo Dogliani Superiore,2012,San Fereolo Dogliani Superiore 2012,Az. Agr. San Fereolo San Fereolo Dogliani Superiore 2012,Az. Agr. San Fereolo San Fereolo Dogliani Superiore
1567,Monterinaldi,https://www.dn.no/smak/vin/chianti-classico-vigneto-boscone/4-1-87916,Chianti Classico Vigneto Boscone,2016,Chianti Classico Vigneto Boscone 2016,Monterinaldi Chianti Classico Vigneto Boscone 2016,Monterinaldi Chianti Classico Vigneto Boscone
1568,Az. Agr. Tommaso Bussola,https://www.dn.no/smak/vin/valpolicella-classico-superiore-tb/4-1-90138,Valpolicella Classico Superiore TB,2014,Valpolicella Classico Superiore TB 2014,Az. Agr. Tommaso Bussola Valpolicella Classico Superiore TB 2014,Az. Agr. Tommaso Bussola Valpolicella Classico Superiore TB
1569,Vign. Contrà Soarda,https://www.dn.no/smak/vin/contra-soarda-musso-rosso/4-1-91747,Contra Soarda Musso Rosso,2016,Contra Soarda Musso Rosso 2016,Vign. Contrà Soarda Contra Soarda Musso Rosso 2016,Vign. Contrà Soarda Contra Soarda Musso Rosso
1570,Ten. Selvadolce,https://www.dn.no/smak/vin/tenuta-selvadolce-se/4-1-91385,Tenuta Selvadolce Se..,2016,Tenuta Selvadolce Se.. 2016,Ten. Selvadolce Tenuta Selvadolce Se.. 2016,Ten. Selvadolce Tenuta Selvadolce Se..
1571,Az. Agr. Roberto Voerzio,https://www.dn.no/smak/vin/roberto-voerzio-barbera-dalba-il-cerreto/4-1-84590,Roberto Voerzio Barbera d'Alba Il Cerreto,2017,Roberto Voerzio Barbera d'Alba Il Cerreto 2017,Az. Agr. Roberto Voerzio Roberto Voerzio Barbera d'Alba Il Cerreto 2017,Az. Agr. Roberto Voerzio Roberto Voerzio Barbera d'Alba Il Cerreto
1572,G.D. Vajra,https://www.dn.no/smak/vin/vajra-langhe-freisa-kye/4-1-84038,Vajra Langhe Freisa Kyè,2015,Vajra Langhe Freisa Kyè 2015,G.D. Vajra Vajra Langhe Freisa Kyè 2015,G.D. Vajra Vajra Langhe Freisa Kyè
1573,Az. Ag. Menegola,https://www.dn.no/smak/vin/menegola-rupestre-sassella/4-1-81453,Menegola Rupestre Sassella,2013,Menegola Rupestre Sassella 2013,Az. Ag. Menegola Menegola Rupestre Sassella 2013,Az. Ag. Menegola Menegola Rupestre Sassella
