,price,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
39,2312.78 kr.,50,221.0,53.6466,40.7629,17.7539,44.234,,,,Podere Il Carnasciale
40,2500 kr.,49,273.0,59.8794,74.1505,6.09852,83.262,,,,Giuseppe Rinaldi
41,862.79 kr.,48,33.0,52.0804,53.0573,4.47687,65.5275,,,,Poggio Rubino
42,1139 kr.,47,76.0,65.9075,77.3989,14.7813,72.98100000000002,,,,Parusso
43,4196.36 kr.,46,11.0,67.5754,82.0528,0.0,79.9874,,,,Tenuta Carretta
44,2104.15 kr.,46,109.0,45.1065,56.056,8.13978,62.1961,,,,Castiglion del Bosco
45,573.23 kr.,45,24.0,85.0,19.9018,47.9276,20.3641,,,,Ernesto Ruffo
46,5495 kr.,42,1102.0,55.7506,45.8604,17.6432,46.0755,,,,Masseto
47,710.21 kr.,41,6.0,48.75,36.25,17.5,48.75,,,,Tenuta Colle del Giglio
48,6167.41 kr.,40,497.0,63.7827,69.4635,9.09049,85.0,12.5,,,Gaja
49,999 kr.,39,12.0,85.0,31.9892,43.4758,18.5457,,,,Zeni
50,538.99 kr.,25,7.0,74.6712,11.045,47.8018,16.0518,,,,Marchiopolo
51,,38,36.0,48.1276,61.3865,14.2423,68.0995,,,,La Poderina
52,2378.32 kr.,37,324.0,69.4151,41.5222,36.8113,23.8708,,,,Quintarelli Giuseppe
53,625.31 kr.,37,3.0,85.0,32.0349,55.43600000000001,17.5,,,,Villa Contea
54,5000 kr.,34,311.0,63.2969,79.502,11.1704,85.0,14.0,,,Aldo Conterno
55,3097.57 kr.,33,220.0,45.5689,39.5138,19.6554,50.1003,14.0,,,Soldera
56,2197.32 kr.,33,29.0,72.2274,40.4564,12.9354,26.8515,15.5,,,Garbole
57,6167.41 kr.,32,519.0,63.0573,80.3868,10.7209,85.0,13.5,,,Gaja
58,368.70 kr.,31,30.0,46.3125,57.2443,14.858,63.643,,,,Scopeto del Cavalli
59,975 kr.,30,9.0,71.2061,40.5614,24.1301,20.2091,,,,Inama Azienda Agricola
60,719.76 kr.,32,19.0,81.8617,18.8963,41.2234,23.8564,,,,Fratelli Giuliari
61,238.35 kr.,30,77.0,46.1821,55.5132,6.89991,62.4643,,,,Terre del Palio
62,189 kr.,29,3668.0,68.956,22.2593,47.1057,11.1189,,,,San Marzano
63,399.39 kr.,29,301.0,85.0,36.167,35.7152,23.9706,,,,Vallone
64,2309.05 kr.,28,324.0,69.4151,41.5222,36.8113,23.8708,,,,Quintarelli Giuseppe
65,488.86 kr.,27,25.0,54.9791,53.7015,11.2871,65.0447,,,,Cava d'Onice
66,830.48 kr.,38,9.0,67.7993,67.3902,3.98864,69.6856,,,,Tornesi
67,2809.05 kr.,5338,7837.0,61.8753,64.8031,10.8233,54.8694,14.0,,,Tenuta San Guido
68,3321.07 kr.,2790,7837.0,61.8753,64.8031,10.8233,54.8694,14.0,,,Tenuta San Guido
69,1773.13 kr.,1835,4669.0,64.3908,64.8157,12.995,53.9656,15.0,,,Ornellaia
70,2299 kr.,1727,3041.0,52.1497,41.1873,14.8661,44.3272,18.0,,,Antinori
71,4625.56 kr.,1652,7837.0,61.8753,64.8031,10.8233,54.8694,0.8,,,Tenuta San Guido
72,5011.02 kr.,1381,7837.0,61.8753,64.8031,10.8233,54.8694,0.8,,,Tenuta San Guido
73,2589.97 kr.,1338,3041.0,52.1497,41.1873,14.8661,44.3272,14.5,,,Antinori
74,2000 kr.,1238,7837.0,61.8753,64.8031,10.8233,54.8694,13.0,,,Tenuta San Guido
75,3587.54 kr.,1169,3041.0,52.1497,41.1873,14.8661,44.3272,,,,Antinori
76,2538.20 kr.,1157,3041.0,52.1497,41.1873,14.8661,44.3272,14.5,,,Antinori
77,2312.78 kr.,1094,4669.0,64.3908,64.8157,12.995,53.9656,14.0,,,Ornellaia
78,2975 kr.,1047,928.0,85.0,28.1078,52.7147,22.1691,16.5,,,Dal Forno Romano
79,5995 kr.,898,1102.0,55.7506,45.8604,17.6432,46.0755,15.0,,,Masseto
80,2312.78 kr.,885,890.0,82.2484,26.396,50.1406,26.5069,16.5,,,Quintarelli Giuseppe
81,2904.94 kr.,866,3041.0,52.1497,41.1873,14.8661,44.3272,13.5,,,Antinori
82,4928.95 kr.,826,890.0,82.2484,26.396,50.1406,26.5069,16.5,,,Quintarelli Giuseppe
83,4901.15 kr.,779,890.0,82.2484,26.396,50.1406,26.5069,17.0,,,Quintarelli Giuseppe
84,2312.78 kr.,753,4669.0,64.3908,64.8157,12.995,53.9656,14.0,,,Ornellaia
85,4995 kr.,698,1102.0,55.7506,45.8604,17.6432,46.0755,14.5,,,Masseto
86,2525 kr.,695,890.0,82.2484,26.396,50.1406,26.5069,17.0,,,Quintarelli Giuseppe
87,5995 kr.,662,1102.0,55.7506,45.8604,17.6432,46.0755,15.0,,,Masseto
88,2495 kr.,665,928.0,85.0,28.1078,52.7147,22.1691,16.5,,,Dal Forno Romano
89,3766.58 kr.,649,890.0,82.2484,26.396,50.1406,26.5069,16.5,,,Quintarelli Giuseppe
90,5500 kr.,638,1102.0,55.7506,45.8604,17.6432,46.0755,15.0,,,Masseto
